Action ID,Question,Category/Subcategory,Expected Answer
MP-3.4-006,"Are end‑users, practitioners, and operators involved in prototyping and testing activities for the GAI system—including scenarios like crisis situations or ethically sensitive contexts?","Human-AI Configuration; Information Integrity; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",Yes
MP-4.1-001,"Is periodic monitoring of AI‑generated content for privacy risks conducted, with action taken on possible instances of PII or sensitive data exposure?",Data Privacy,Yes
MP-4.1-002,Are processes implemented for responding to potential intellectual property infringement claims or other rights issues?,Intellectual Property,Yes
MP-4.1-003,"Are new GAI policies, procedures, and processes connected to existing model, data, software development, IT governance, and legal/compliance/risk management activities?",Information Security; Data Privacy,Yes
MP-4.1-004,Are training data curation policies documented to the extent possible and according to applicable laws and policies?,"Intellectual Property; Data Privacy; Obscene, Degrading, and/or Abusive Content",Yes
MP-4.1-005,"Are policies established for collection, retention, and minimum quality of data—considering risks like inappropriate CBRN information disclosure, illegal/dangerous content, offensive cyber capabilities, training data imbalances, and PII leaks?","CBRN Information or Capabilities; Intellectual Property; Information Security; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; Data Privacy",Yes
MP-4.1-006,"Are policies and practices implemented to define how third‑party intellectual property and training data will be used, stored, and protected?",Intellectual Property; Value Chain and Component Integration,Yes
MP-4.1-007,Are models that were fine‑tuned or enhanced on top of third‑party models re‑evaluated?,Value Chain and Component Integration,Yes
MP-4.1-008,"Are risks re‑evaluated when adapting GAI models to new domains, and are warning systems established to detect use in new domains where previous risk assumptions may no longer hold?","CBRN Information or Capabilities; Intellectual Property; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; Data Privacy",Yes
MP-4.1-009,"Are approaches leveraged to detect the presence of PII or sensitive data in generated output (text, image, video, or audio)?",Data Privacy,Yes
MP-4.1-010,"Is appropriate due diligence conducted on training data use to assess intellectual property and privacy risks, including verifying consistency with applicable laws?",Intellectual Property; Data Privacy,Yes
MP-5.1-001,"Are TEVV practices for content provenance applied (e.g., probing the system’s synthetic data generation capabilities for misuse or vulnerabilities)?",Information Integrity; Information Security,Yes
MP-5.1-002,"Are potential content provenance harms (e.g., misinformation/disinformation, deepfakes including NCII, tampered content) identified, ranked by likelihood and impact, and addressed by provenance solutions?","Information Integrity; Dangerous, Violent, or Hateful Content; Obscene, Degrading, and/or Abusive Content",Yes
MP-5.1-003,"Is the use of GAI disclosed to end‑users in relevant contexts—considering the disclosure objective, context, risk likelihood/magnitude, audience, and frequency?",Human-AI Configuration,Yes
MP-5.1-004,Are GAI structured public feedback processes prioritized based on risk assessment estimates?,"Information Integrity; CBRN Information or Capabilities; Dangerous, Violent, or Hateful Content; Harmful Bias and Homogenization",Yes
MP-5.1-005,"Are adversarial role‑playing exercises, GAI red‑teaming, or chaos testing conducted to identify anomalous or unforeseen failure modes?",Information Security,Yes
MP-5.1-006,Are threats and negative impacts from GAI system interactions—along with known and potential vulnerabilities and their likelihood—profiled and documented?,Information Security,Yes
MP-5.2-001,Are context‑based measures determined to identify if new impacts arise from the GAI system—including regular engagements with downstream AI Actors to identify and quantify unanticipated impacts?,Human-AI Configuration; Value Chain and Component Integration,Yes
MP-5.2-002,Are regular engagements planned with AI Actors responsible for inputs (including third‑party data and algorithms) to review and evaluate unanticipated impacts?,Human-AI Configuration; Value Chain and Component Integration,Yes
MS-1.1-001,Employ methods to trace the origin and modifications of digital content.,Information Integrity,Yes
MS-1.1-002,"Integrate tools designed to analyze content provenance, detect data anomalies, verify digital signatures, and identify patterns associated with misinformation or manipulation.",Information Integrity,Yes
MS-1.1-003,Disaggregate evaluation metrics by demographic factors to identify discrepancies in how content provenance mechanisms work across diverse populations.,Information Integrity; Harmful Bias and Homogenization,Yes
MS-1.1-004,Develop a suite of metrics to evaluate structured public feedback exercises informed by representative AI Actors.,Human-AI Configuration; Harmful Bias and Homogenization; CBRN Information or Capabilities,Yes
MS-1.1-005,"Evaluate novel methods and technologies for measuring GAI-related risks—including in content provenance, offensive cyber, and CBRN—while maintaining valid, reliable, and factually accurate outputs.","Information Integrity; CBRN Information or Capabilities; Obscene, Degrading, and/or Abusive Content",Yes
MS-1.1-006,Implement continuous monitoring of GAI system impacts to identify if outputs are equitable across sub-populations; actively seek direct feedback from affected communities via structured feedback mechanisms or red-teaming.,Harmful Bias and Homogenization,Yes
MS-1.1-007,"Evaluate the quality and integrity of data used in training and the provenance of AI-generated content (e.g., using chaos engineering techniques and stakeholder feedback).",Information Integrity,Yes
MS-1.1-008,"Define use cases, contexts of use, capabilities, and negative impacts where structured human feedback exercises (e.g., GAI red-teaming) would be most beneficial for risk measurement and management.",Harmful Bias and Homogenization; CBRN Information or Capabilities,Yes
MS-1.1-009,"Track and document risks or opportunities related to all GAI risks that cannot be measured quantitatively, including explanations for why certain risks cannot be measured; include these as marginal risks.",Information Integrity,Yes
MS-1.3-001,"Define relevant groups of interest (e.g., demographic groups, subject matter experts, experienced GAI users) within the context of use as part of plans for gathering structured public feedback.",Human-AI Configuration; Harmful Bias and Homogenization; CBRN Information or Capabilities,Yes
MS-1.3-002,"Engage in internal and external evaluations, GAI red-teaming, impact assessments, or other structured human feedback exercises in consultation with representative AI Actors familiar with the context of use.",Human-AI Configuration; Harmful Bias and Homogenization; CBRN Information or Capabilities,Yes
MS-1.3-003,Verify that those conducting structured human feedback exercises are not directly involved in system development tasks for the same GAI model.,Human-AI Configuration; Data Privacy,Yes
MS-2.2-001,"Assess and manage statistical biases related to GAI content provenance using techniques such as re-sampling, re-weighting, or adversarial training.",Information Integrity; Information Security; Harmful Bias and Homogenization,Yes
MS-2.2-002,"Document how content provenance data is tracked and how it interacts with privacy and security—consider anonymizing data, leveraging privacy output filters, and removing any personally identifiable information (PII).","Data Privacy; Human-AI Configuration; Information Integrity; Information Security; Dangerous, Violent, or Hateful Content",Yes
MS-2.2-003,Provide human subjects with options to withdraw participation or revoke consent for present or future use of their data in GAI applications.,Data Privacy; Human-AI Configuration; Information Integrity,Yes
MS-2.2-004,"Use techniques such as anonymization, differential privacy, or other privacy-enhancing technologies to minimize risks of linking AI-generated content back to individual human subjects.",Data Privacy; Human-AI Configuration,Yes
MS-2.3-001,Consider baseline model performance on suites of benchmarks when selecting a model for fine-tuning or enhancement with retrieval-augmented generation.,Information Security; Confabulation,Yes
MS-2.3-002,Evaluate claims of model capabilities using empirically validated methods.,Confabulation; Information Security,Yes
MS-2.3-003,"Share results of pre-deployment testing with relevant GAI Actors (e.g., those with system release approval authority).",Human-AI Configuration,Yes
MS-2.3-004,"Utilize a purpose-built testing environment (e.g., NIST Dioptra) to empirically evaluate GAI trustworthy characteristics.","CBRN Information or Capabilities; Data Privacy; Confabulation; Information Integrity; Information Security; Dangerous, Violent, or Hateful Content; Harmful Bias and Homogenization",Yes
MS-2.5-001,"Avoid extrapolating GAI system performance or capabilities from narrow, nonsystematic, and anecdotal assessments.",Human-AI Configuration; Confabulation,Yes
MS-2.5-002,"Document the extent to which human domain knowledge is employed to improve GAI system performance (e.g., via RLHF, fine-tuning, retrieval-augmented generation, content moderation, business rules).",Human-AI Configuration,Yes
MS-2.5-003,Review and verify sources and citations in GAI system outputs during pre-deployment risk measurement and ongoing monitoring activities.,Confabulation,Yes
MS-2.5-004,"Track and document instances of anthropomorphization (e.g., human images, mentions of feelings, cyborg imagery) in GAI system interfaces.",Human-AI Configuration,Yes
MS-2.5-005,"Verify GAI system training data and TEVV data provenance, and ensure that fine-tuning or retrieval-augmented generation data is properly grounded.",Information Integrity,Yes
MS-2.5-006,"Regularly review security and safety guardrails, especially if the GAI system is operated in novel circumstances, including reviewing why it was initially assessed as safe to deploy.","Information Security; Dangerous, Violent, or Hateful Content",Yes
MS-2.6-001,"Assess adverse impacts—including health and wellbeing—for AI Actors exposed to sexually explicit, offensive, or violent information during GAI training and maintenance.","Human-AI Configuration; Obscene, Degrading, and/or Abusive Content; Value Chain and Component Integration; Dangerous, Violent, or Hateful Content",Yes
MS-2.6-002,"Assess levels of harmful bias, intellectual property infringement, data privacy violations, obscenity, extremism, violence, or CBRN information in system training data.","Data Privacy; Intellectual Property; Obscene, Degrading, and/or Abusive Content; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content; CBRN Information or Capabilities",Yes
MS-2.6-003,Re-evaluate safety features of fine-tuned models when negative risk exceeds organizational risk tolerance.,"Dangerous, Violent, or Hateful Content",Yes
MS-2.6-004,Review GAI system outputs for validity and safety by assessing generated code for risks arising from unreliable downstream decision-making.,"Value Chain and Component Integration; Dangerous, Violent, or Hateful Content",Yes
MS-2.6-005,"Verify that GAI system architecture can monitor outputs and performance and can handle, recover from, and repair errors when security anomalies, threats, and impacts are detected.",Confabulation; Information Integrity; Information Security,Yes
MS-2.6-006,"Verify that systems properly handle queries that may give rise to inappropriate, malicious, or illegal usage—including manipulation, extortion, targeted impersonation, cyber-attacks, and weapons creation.",CBRN Information or Capabilities; Information Security,Yes
MS-2.6-007,Regularly evaluate GAI system vulnerabilities to possible circumvention of safety measures.,CBRN Information or Capabilities; Information Security,Yes
MS-2.7-001,"Have you applied established security measures to assess vulnerabilities (e.g., backdoors, data breaches, reverse engineering, etc.)?",Data Privacy; Information Integrity; Information Security; Value Chain and Component Integration,Yes
MS-2.7-002,Have you benchmarked your GAI system’s security and content provenance against industry standards and best practices?,Information Integrity; Information Security,Yes
MS-2.7-003,Have you conducted user surveys to assess satisfaction with AI-generated content and perceptions of content authenticity?,Human-AI Configuration; Information Integrity,Yes
MS-2.7-004,"Have you identified metrics that reflect the effectiveness of your security measures (e.g., unauthorized access attempts, data provenance)?",Information Integrity; Information Security,Yes
MS-2.7-005,"Have you measured the reliability of content authentication methods (watermarking, cryptographic signatures, etc.) by evaluating false/true positive rates?",Information Integrity,Yes
MS-2.7-006,Do you measure the implementation rate of security recommendations and assess system adaptation after security incidents?,Information Integrity; Information Security,Yes
MS-2.7-007,"Have you performed AI red-teaming to test resilience against attacks (e.g., prompt injection, data poisoning, model extraction)?","Information Security; Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",Yes
MS-2.7-008,Have you verified that fine-tuning has not compromised safety and security controls?,"Information Integrity; Information Security; Dangerous, Violent, or Hateful Content",Yes
MS-2.7-009,Do you regularly assess and verify that security measures remain effective and uncompromised?,Information Security,Yes
MS-2.8-001,"Have you compiled statistics on policy violations, take-down requests, and intellectual property infringements across demographic groups?",Intellectual Property; Harmful Bias and Homogenization,Yes
MS-2.8-002,Have you documented the instructions given to data annotators or AI red-teamers?,Human-AI Configuration,Yes
MS-2.8-003,"Are digital content transparency solutions in place to document every instance of content generation, modification, or sharing?",Information Integrity,Yes
MS-2.8-004,Have you verified the adequacy of GAI system user instructions through user testing?,Human-AI Configuration,Yes
MS-2.9-001,"Have you applied and documented ML explanation techniques (e.g., gradient-based attributions, counterfactual prompts, etc.)?",Confabulation,Yes
MS-2.9-002,"Have you documented GAI model details including use case, data collection methodologies, model architecture, training methods, and ethical/legal considerations?",Information Integrity; Harmful Bias and Homogenization,Yes
MS-2.10-001,"Have you conducted AI red-teaming to assess privacy risks (e.g., training data leakage, reverse engineering, exposure of sensitive information)?",Human-AI Configuration; Information Integrity; Intellectual Property,Yes
MS-2.10-002,Have you engaged with end-users to understand their expectations and concerns regarding content provenance?,Human-AI Configuration; Information Integrity,Yes
MS-2.10-003,Have you verified that GAI training data samples (especially synthetic data) are properly deduplicated?,Harmful Bias and Homogenization,Yes
MS-2.11-001,"Have you applied appropriate benchmarks (e.g., Bias Benchmark Questions, Winogender Schemas) to quantify systemic bias in outputs?",Harmful Bias and Homogenization,Yes
MS-2.11-002,Have you conducted fairness assessments measuring system performance across demographic groups using quantitative metrics?,"Harmful Bias and Homogenization; Dangerous, Violent, or Hateful Content",Yes
MS-2.11-003,Have you identified the groups or ecosystems that might be impacted by GAI systems through direct community engagement?,Environmental; Harmful Bias and Homogenization,Yes
MS-2.11-004,"Have you reviewed and documented sources of bias in GAI training and TEVV data (e.g., data balance, representativeness, proxy features)?",Harmful Bias and Homogenization,Yes
MS-2.11-005,Have you assessed the proportion of synthetic to non-synthetic training data to ensure diversity and avoid model collapse?,Harmful Bias and Homogenization,Yes
MS-2.12-001,Have you assessed the safety to physical environments when deploying GAI systems?,"Environmental Impact; Dangerous, Violent, or Hateful Content",Yes
MS-2.12-002,"Have you documented the anticipated environmental impacts of model development, maintenance, and deployment in product design?",Environmental,Yes
MS-2.12-003,"Have you measured or estimated environmental impacts (e.g., energy and water consumption) for training, fine tuning, and deployment?",Environmental,Yes
MS-2.12-004,Have you verified the effectiveness of carbon capture or offset programs for GAI training and addressed green-washing concerns?,Environmental,Yes
MS-2.13-001,Have you created measurement error models for pre-deployment metrics to demonstrate construct validity for each metric?,Confabulation; Information Integrity; Harmful Bias and Homogenization,Yes
MS-3.2-001,"Have you established processes for identifying emergent GAI system risks, including consulting with external AI Actors?",Human-AI Configuration; Confabulation,Yes
MS-3.3-001,"Have you conducted impact assessments on how AI-generated content might affect different social, economic, and cultural groups?",Harmful Bias and Homogenization,Yes
MS-3.3-002,Have you conducted studies to understand how end users perceive and interact with GAI content and its provenance in context of use?,Human-AI Configuration; Information Integrity,Yes
MS-3.3-003,Have you evaluated potential biases and stereotypes that could emerge from the AI-generated content using appropriate methodologies?,Harmful Bias and Homogenization,Yes
MS-3.3-004,Have you provided input for training materials regarding the capabilities and limitations of GAI systems for diverse audiences?,Human-AI Configuration; Information Integrity; Harmful Bias and Homogenization,Yes
MS-3.3-005,"Have you recorded and integrated structured feedback on content provenance from operators, users, and impacted communities?",Human-AI Configuration; Information Integrity; Harmful Bias and Homogenization,Yes
MS-4.2-001,Have you conducted adversarial testing at a regular cadence to map and measure GAI risks and identify potential misuse scenarios?,Information Integrity; Information Security,Yes
MS-4.2-002,Have you evaluated GAI system performance in real-world scenarios to reveal issues not apparent in controlled testing?,Human-AI Configuration; Confabulation; Information Security,Yes
MS-4.2-003,Have you implemented interpretability and explainability methods to evaluate GAI system decisions and verify alignment with intent?,Information Integrity; Harmful Bias and Homogenization,Yes
MS-4.2-004,Have you monitored and documented instances where human operators or other systems override the GAI's decisions?,Information Integrity,Yes
MS-4.2-005,"Have you verified and documented the incorporation of structured public feedback into design, deployment, and monitoring decisions?",Human-AI Configuration; Information Security,Yes
MG-1.3-001,"Have you documented trade-offs, decision processes, and measurement/feedback results for risks that fall within organizational risk tolerance, including considerations of staged model release approaches?",Information Security,Yes
