CVE ID,Framework/Tool,Affected Versions,Type of Attack,Description,Severity Score,Source of CVE,Relevant Phase,Attack Vector,Mitigation,Source of Mitigation,Extracted Version
CVE-2023-36095,langchain,< 0.0.194,Arbitrary Code Execution,"LangChain (v0.0.194) allows arbitrary code execution through Python exec calls in PALChain (from_math_prompt, from_colored_object_prompt).",9.8,NVD,Input Handling,User Input,Apply patches to LangChain (v0.0.194 or later). Avoid using Python exec calls in chain functions and replace them with safer alternatives. Implement input validation and limit the use of sensitive functions that may lead to arbitrary code execution.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",0.0.194
CVE-2023-38860,langchain,< 0.0.231,Arbitrary Code Execution,"LangChain (v0.0.231) allows arbitrary code execution via the prompt parameter, affecting the security of the application.",9.8,NVD,Input Handling,User Input,"Update LangChain to v0.0.231 or later. Implement robust input validation and filtering mechanisms to ensure that prompts do not include code that can be executed. Use secure programming practices, such as input sanitation, to prevent remote code execution.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",0.0.231
CVE-2023-38896,langchain,< 0.0.194,Arbitrary Code Execution,LangChain v.0.0.194 and earlier allows arbitrary code execution via the from_math_prompt and from_colored_object_prompt functions.,9.8,NVD,Input Handling,User Input,Update to LangChain v.0.0.195 or later. Avoid using dangerous functions like exec within prompts. Implement input validation to prevent arbitrary code execution and enforce the use of safe parsing and evaluation methods. Implement sandboxing to limit the impact of potential exploitation.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.0.194
CVE-2023-39659,langchain,< 0.0.232,Arbitrary Code Execution,LangChain v.0.0.232 and earlier allows arbitrary code execution via crafted scripts to the PythonAstREPLTool._run component.,9.8,NVD,Input Handling,User Input,Upgrade LangChain to v.0.0.233 or later. Remove the ability for untrusted scripts to execute arbitrary code through the REPL tool. Implement strong input validation and restrict the use of unsafe Python methods. Use sandboxing to further limit the scope of execution in case of exploitation.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.0.232
CVE-2023-36281,langchain,< 0.0.171,Arbitrary Code Execution,LangChain v.0.0.171 allows remote code execution via a JSON file to load_prompt through the use of __subclasses__ or template injection.,9.8,NVD,Input Handling,User Input,Upgrade LangChain to v.0.0.172 or later. Validate and sanitize JSON inputs to prevent template injection or access to Python classes via __subclasses__. Implement strict input validation for all user-supplied content and avoid the use of unsafe methods that may allow arbitrary code execution.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",0.0.171
CVE-2023-39631,langchain,< 0.0.245,Arbitrary Code Execution,"LangChain v.0.0.245 allows arbitrary code execution via the evaluate function in the numexpr library, which can be exploited by remote attackers.",9.8,NVD,Input Handling,User Input,Update LangChain to v.0.0.246 or later. Ensure that untrusted inputs are never evaluated using the evaluate function in numexpr. Use input validation and safe execution practices to prevent code injection. Consider replacing numexpr with safer alternatives or sandboxing its execution to prevent potential misuse.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.0.245
CVE-2023-44467,langchain,< 0.0.306,Arbitrary Code Execution,"LangChain Experimental (before v.0.0.306) allows arbitrary code execution via __import__ in Python code, bypassing the fix for CVE-2023-36258.",9.8,NVD,Input Handling,User Input,Update LangChain Experimental to v.0.0.306 or later. Remove the use of unsafe Python attributes such as __import__ and sanitize all inputs to prevent arbitrary code execution. Use secure coding practices to ensure the same vulnerability is not reintroduced.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.0.306
CVE-2023-46229,langchain,< 0.0.317,Server-Side Request Forgery (SSRF),"LangChain (before v.0.0.317) allows SSRF through document loaders like recursive_url_loader.py, potentially accessing internal servers and causing unauthorized network interactions.",8.8,NVD,Input/Output Handling,User Input,Update to LangChain v.0.0.317 or later. Restrict external HTTP requests to trusted sources and use firewall rules to block access to internal networks. Implement logging and monitoring to detect unusual HTTP request patterns and mitigate SSRF risks.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SI-4 (System Monitoring)",0.0.317
CVE-2023-32786,langchain,< 0.0.155,Prompt Injection,"LangChain (v.0.0.155 and earlier) is vulnerable to prompt injection attacks, allowing the attacker to force the service to retrieve data from arbitrary URLs, enabling SSRF and potential downstream content injection.",7.5,NVD,Input/Output Handling,LLM / NLP Input Manipulation,Apply updates to LangChain v.0.0.156 or later. Sanitize and validate all user-supplied prompts to prevent prompt injection attacks. Use secure HTTP request methods and limit external access to approved URLs. Implement network-level protections like firewall rules to prevent SSRF.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",0.0.155
CVE-2024-27444,langchain,< 0.1.8,Arbitrary Code Execution,"LangChain Experimental (before v.0.1.8) allows arbitrary code execution by bypassing CVE-2023-44467 fixes through unsafe Python attributes like __import__, __subclasses__, __builtins__, and others.",9.8,NVD,Input Handling,User Input,Upgrade to LangChain Experimental v.0.1.8 or later. Block the use of unsafe Python attributes that can lead to arbitrary code execution. Conduct a thorough security review to ensure that all previously introduced vulnerabilities are properly mitigated and that input validation is enforced throughout the codebase.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",0.1.8
CVE-2024-2057,langchain,< 0.0.26,Server-Side Request Forgery (SSRF),"LangChain Community (v.0.0.26 and earlier) is vulnerable to SSRF attacks via the load_local function, allowing remote attackers to manipulate requests and exploit internal systems.",6.3,NVD,Input/Output Handling,User Input,Upgrade to LangChain Community v.0.0.27 or later. Implement input validation to prevent attackers from manipulating request parameters. Use network-level protections to block access to internal services and monitor logs for suspicious SSRF attempts. Ensure that external network requests are properly restricted and verified.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SI-4 (System Monitoring)",0.0.26
CVE-2024-28088,langchain,< 0.1.29,Path Traversal,"LangChain (before v0.1.29) allows directory traversal through load_chain, disclosing sensitive information or allowing RCE.",8.1,NVD,Input Handling,User Input,Update to LangChain v0.1.29 or later. Ensure that directory traversal is prevented by sanitizing file paths. Use secure file handling practices to restrict user-supplied paths to specific directories. Implement access controls and input validation to prevent unauthorized access.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), AC-6 (Least Privilege)",0.1.29
CVE-2024-37058,langchain,< 2.5.0,Deserialization of Untrusted Data,Deserialization of untrusted data in MLflow platform running version 2.5.0 or newer allows a malicious LangChain AgentExecutor model to execute arbitrary code on an end user's system.,8.8,NVD,Deserialization,Unknown,Upgrade to the latest version of LangChain and ensure the MLflow platform is updated to mitigate the deserialization vulnerability. Avoid using untrusted data in deserialization processes by validating or restricting the types of data that can be passed for deserialization. Use safe deserialization libraries and mechanisms like cryptographic signatures to verify the authenticity and integrity of the data being deserialized.,"NIST SP 800-53 Rev. 5, SI-16 (Memory Protection), SC-7 (Boundary Protection)",2.5.0
CVE-2024-3095,langchain,< 0.1.5,Server-Side Request Forgery (SSRF),"LangChain's Web Research Retriever in version 0.1.5 allows SSRF by failing to restrict remote internet requests, enabling attackers to perform port scans, access local services, and potentially read cloud instance metadata. Exploiting this flaw could result in unauthorized access to sensitive data or interaction with internal services.",7.7,NVD,Input/Output Handling,User Input,"Upgrade to LangChain v.0.1.6 or later. Enforce strict access controls on outbound network requests made by the Web Research Retriever to prevent unauthorized requests to internal systems. Implement whitelisting for safe, external domains, and use firewall rules to block access to internal services from unauthorized sources. Also, monitor and log network traffic to detect and mitigate suspicious SSRF attempts.","NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SI-4 (System Monitoring)",0.1.5
CVE-2024-38459,langchain,< 0.0.61,Incomplete Fix for Python REPL Access,"LangChain Experimental (before 0.0.61) provides Python REPL access without an opt-in step, allowing arbitrary Python code execution. This issue exists due to an incomplete fix for CVE-2024-27444, enabling attackers to bypass restrictions and execute arbitrary Python code.",7.8,NVD,Code Execution,Unknown,Update to LangChain Experimental v.0.0.61 or later. Ensure that REPL access is restricted and opt-in measures are implemented to prevent unauthorized access. Remove or restrict the use of dangerous Python methods like eval or exec. Conduct a thorough code review to ensure that previously vulnerable sections are properly fixed and that no other bypass mechanisms exist. Implement input sanitization and sandboxing for executing untrusted code.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.0.61
CVE-2024-46946,langchain,< 0.3.0,Arbitrary Code Execution,LangChain Experimental (v0.1.17 - v0.3.0) allows arbitrary code execution through sympy.sympify in LLMSymbolicMathChain.,9.8,NVD,Input Handling,User Input,"Update to LangChain v0.0.306 or later. Replace or restrict the use of unsafe functions like sympy.sympify, and sanitize all inputs that interact with symbolic math operations to prevent arbitrary code execution.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-30 (Isolation of Services)",0.3.0
CVE-2024-23751,llamaindex,< 0.9.34,SQL Injection,LlamaIndex through 0.9.34 is vulnerable to SQL injection via the Text-to-SQL feature in several query engines.,9.8,NVD,Implementation and Deployment,Database Query Manipulation,Upgrade LlamaIndex to version 0.9.35 or later. Use prepared statements for all SQL queries and apply strict input validation to prevent SQL injection attacks. Regularly audit and test SQL-related code to detect injection vulnerabilities.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-39 (Process Isolation)",0.9.34
CVE-2024-4181,llamaindex,< 0.10.13,Command Injection,"A command injection vulnerability exists in the RunGptLLM class of the llama_index library, version 0.9.47, used by the RunGpt framework from JinaAI to connect to Language Learning Models (LLMs). The vulnerability arises from the improper use of the eval function, allowing a malicious or compromised LLM hosting provider to execute arbitrary commands on the client's machine. This issue was fixed in version 0.10.13. The exploitation of this vulnerability could lead to a hosting provider gaining full control over client machines.",,NVD,"Deployment, Maintenance",Unknown,Replace the eval function with safer alternatives like ast.literal_eval and restrict input commands.,"OWASP Secure Coding Practices, Command Injection Prevention - Avoid using eval with untrusted input.",0.10.13
CVE-2022-23560,tensorflow,< 2.5.3,Buffer Overflow,"TensorFlow is an Open Source Machine Learning Framework. An attacker can craft a TFLite model that would allow limited reads and writes outside of arrays in TFLite. This exploits missing validation in the conversion from sparse tensors to dense tensors. The fix is included in TensorFlow 2.8.0. The fix is also available in TensorFlow 2.7.1, TensorFlow 2.6.3, and TensorFlow 2.5.3. Users are advised to upgrade as soon as possible.",,NVD,"Design, Deployment, Maintenance",Unknown,Enforce validation checks for tensor sizes during conversion from sparse to dense formats.,"CERT C Coding Standard, ARR32-C (Validate array indices) - Ensuring memory access is within bounds.",2.5.3
CVE-2022-0736,mlflow,< 1.23.1,Insecure Temporary File,"MLflow prior to 1.23.1 has an insecure temporary file vulnerability, which can be exploited to modify or access files unexpectedly.",7.5,NVD,Implementation and Maintenance,File System Access,"Upgrade MLflow to version 1.23.1 or later. Use secure temporary file handling practices by assigning random filenames, restricting file permissions, and avoiding world-writable directories.","NIST SP 800-53 Rev. 5, SI-12 (Information Handling)",1.23.1
CVE-2023-1176,mlflow,< 2.2.2,Absolute Path Traversal,"MLflow versions prior to 2.2.2 are vulnerable to absolute path traversal, allowing attackers to access files outside the intended directories by manipulating the file path.",3.3,NVD,Implementation and Testing,Unknown,Upgrade to MLflow 2.2.2 or later. Apply input validation to sanitize and restrict file paths. Use path normalization to prevent access to files outside of allowed directories.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection)",2.2.2
CVE-2023-1177,mlflow,< 2.2.1,Path Traversal ('..\filename'),"MLflow versions prior to 2.2.1 are vulnerable to path traversal via crafted filenames like '..\filename', allowing access to files outside of allowed directories.",9.8,NVD,Implementation and Maintenance,Unknown,Upgrade to MLflow 2.2.1 or later. Implement input validation to restrict file paths and prevent directory traversal. Ensure file path sanitization is in place to avoid accessing sensitive or restricted files.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation)",2.2.1
CVE-2023-2356,mlflow,< 2.3.1,Relative Path Traversal,"MLflow versions prior to 2.3.1 are vulnerable to relative path traversal attacks, allowing unauthorized access to sensitive files.",7.5,NVD,Implementation and Maintenance,Unknown,Upgrade to MLflow 2.3.1 or later. Validate user inputs and sanitize file paths to prevent relative path traversal. Avoid directly using user-supplied data for file access without validation.,"NIST SP 800-53 Rev. 5, SC-34 (Non-Persistence)",2.3.1
CVE-2023-30172,mlflow,< 2.0.1,Directory Traversal,A directory traversal vulnerability in the /get-artifact API method of MLflow up to v2.0.1 allows attackers to read arbitrary files on the server.,7.5,NVD,Deployment and Maintenance,Unknown,Upgrade to MLflow v2.1.0 or later. Apply input validation and path sanitization on all API parameters. Implement access controls on sensitive directories to prevent unauthorized file reads.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), AC-3 (Access Enforcement)",2.0.1
CVE-2023-2780,mlflow,< 2.3.1,Path Traversal ('..\filename'),"Path Traversal: ..\filename vulnerability in MLflow prior to 2.3.1 enables directory traversal, allowing attackers to access restricted files.",9.8,NVD,Implementation and Maintenance,Unknown,Upgrade to MLflow 2.3.1 or later. Implement secure file path handling and validation techniques to prevent directory traversal. Ensure path validation prevents directory traversal sequences.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SI-10 (Input Validation)",2.3.1
CVE-2023-3765,mlflow,< 2.5.0,Absolute Path Traversal,"MLflow prior to 2.5.0 contains an absolute path traversal vulnerability, allowing attackers to access unauthorized system files through crafted input.",10.0,NVD,Development and Deployment,Unknown,"Update to MLflow 2.5.0 or later. Apply strict validation of file paths, ensure that the application only accesses files within authorized directories, and disable unnecessary file access.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation)",2.5.0
CVE-2023-4033,mlflow,< 2.6.0,OS Command Injection,"MLflow prior to 2.6.0 is vulnerable to OS command injection via user-supplied input, potentially leading to remote code execution.",7.8,NVD,Implementation and Testing,Unknown,Upgrade to MLflow 2.6.0 or later. Ensure that all user inputs are sanitized to prevent OS command injection. Implement the principle of least privilege to minimize the impact of a successful command injection attack.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-39 (Process Isolation)",2.6.0
CVE-2023-43472,mlflow,< 2.8.1,Sensitive Information Disclosure,MLFlow versions 2.8.1 and earlier allow a remote attacker to obtain sensitive information via crafted requests to the REST API.,7.5,NVD,Implementation and Maintenance,Unknown,Upgrade to MLflow 2.8.2 or later. Restrict access to sensitive API endpoints and implement secure API authentication and authorization mechanisms. Ensure that sensitive information is not exposed in error messages or logs.,"NIST SP 800-53 Rev. 5, SC-28 (Protection of Information at Rest)",2.8.1
CVE-2023-6709,mlflow,< 2.9.2,Improper Neutralization (Template),"MLflow prior to 2.9.2 contains a vulnerability in its template engine, allowing attackers to inject malicious elements into the template rendering process.",8.8,NVD,Development and Implementation,Unknown,"Upgrade to MLflow 2.9.2 or later. Apply proper neutralization techniques to template inputs, ensuring user input is safely handled within the template rendering engine. Avoid unsanitized user input in templates to prevent injection attacks.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-39 (Process Isolation)",2.9.2
CVE-2023-6753,mlflow,< 2.9.2,Path Traversal,"MLflow prior to 2.9.2 is vulnerable to path traversal attacks, allowing attackers to access unauthorized files.",8.8,NVD,Implementation and Maintenance,Unknown,Update to MLflow 2.9.2 or later. Enforce path sanitization and validation for all file operations. Prevent path traversal sequences like ..\ from being used to access unauthorized files or directories.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation)",2.9.2
CVE-2023-6831,mlflow,< 2.9.2,Path Traversal ('..\filename'),Path traversal vulnerability in MLflow prior to 2.9.2 allows access to files outside authorized directories via crafted file paths.,8.1,NVD,Deployment and Testing,Unknown,Apply input validation to file paths to ensure path traversal sequences are disallowed. Upgrade to MLflow 2.9.2 or later. Regularly test the application for directory traversal vulnerabilities to ensure security.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SA-11 (Testing and Evaluation)",2.9.2
CVE-2023-6909,mlflow,< 2.9.2,Path Traversal ('..\filename'),"MLflow versions prior to 2.9.2 are vulnerable to path traversal attacks via crafted filenames like ..\filename, allowing access to restricted files.",7.5,NVD,Implementation and Testing,Unknown,Upgrade to MLflow 2.9.2 or later. Implement path validation to restrict unauthorized file access. Prevent directory traversal sequences and test the application for similar vulnerabilities regularly.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SI-10 (Input Validation)",2.9.2
CVE-2024-1483,mlflow,< 2.9.2,Path Traversal,Path traversal vulnerability in MLflow 2.9.2 allows attackers to access arbitrary files via crafted 'artifact_location' and 'source' parameters.,7.5,NVD,Implementation and Maintenance,Unknown,Upgrade to MLflow 2.9.3 or later. Implement strict validation for user-supplied input in 'artifact_location' and 'source' parameters to prevent path traversal. Ensure proper sanitization and verification of file paths.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation)",2.9.2
CVE-2024-3848,mlflow,< 2.11.0,Path Traversal/Bypass,A bypass of CVE-2023-6909 using the fragment part of a URL to perform path traversal and access arbitrary files on the server in MLflow 2.11.0.,7.5,NVD,Implementation and Maintenance,Unknown,"Upgrade to MLflow 2.11.1 or later. Ensure comprehensive validation of all parts of a URI, including fragments, to prevent path traversal and unauthorized file access.","NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection)",2.11.0
CVE-2024-4263,mlflow,< 2.10.1,Broken Access Control,"MLflow versions before 2.10.1 allow low-privilege users with EDIT permissions to delete artifacts, which is outside their intended privileges.",5.4,NVD,Implementation and Testing,Unknown,"Upgrade to MLflow 2.10.1 or later. Implement proper validation and access control mechanisms for DELETE requests, ensuring that only users with sufficient privileges can perform artifact deletions. Audit and log all artifact deletion activities.","NIST SP 800-53 Rev. 5, AC-6 (Least Privilege), AC-2 (Account Management)",2.10.1
CVE-2024-37054,mlflow,< 0.9.0,Deserialization of Untrusted Data,Deserialization of untrusted data in MLflow 0.9.0 or newer allows malicious PyFunc models to execute arbitrary code when loaded by an end user.,8.8,NVD,Implementation and Maintenance,Unknown,"Upgrade to the latest version of MLflow. Implement strict validation for deserialization of models, ensuring that only trusted sources are allowed. Enforce security controls to prevent arbitrary code execution during model loading.","NIST SP 800-53 Rev. 5, SC-28 (Protection of Information at Rest), SC-7 (Boundary Protection)",0.9.0
CVE-2024-37055,mlflow,< 1.24.0,Deserialization of Untrusted Data,Deserialization of untrusted data in MLflow 1.24.0 or newer allows arbitrary code execution via maliciously uploaded pmdarima models.,8.8,NVD,Implementation and Maintenance,Unknown,"Upgrade to MLflow 1.25.0 or later. Implement controls to prevent the deserialization of untrusted data, ensuring that only authenticated and trusted models are allowed to execute.","NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SC-28 (Protection of Information at Rest)",1.24.0
CVE-2024-37060,mlflow,< 1.27.0,Deserialization of Untrusted Data,Deserialization of untrusted data in MLflow 1.27.0 or newer allows arbitrary code execution via maliciously crafted recipes.,8.8,NVD,Development and Testing,Unknown,Upgrade to the latest version of MLflow. Ensure recipes are validated and restricted to authorized users. Prevent deserialization of untrusted data by implementing proper security controls and validation on all recipes.,"NIST SP 800-53 Rev. 5, SC-28 (Protection of Information at Rest), SC-7 (Boundary Protection)",1.27.0
CVE-2024-37061,mlflow,< 1.11.0,Remote Code Execution,"Remote code execution vulnerability in MLflow versions 1.11.0 or newer, allowing maliciously crafted MLprojects to execute arbitrary code on an end user’s system.",8.8,NVD,Implementation and Testing,Unknown,Upgrade to the latest version of MLflow. Ensure MLprojects are validated and restricted to trusted users. Implement additional security mechanisms to prevent the execution of unauthorized code within the MLproject environment.,"NIST SP 800-53 Rev. 5, SC-7 (Boundary Protection), SC-39 (Process Isolation)",1.11.0
CVE-2024-2928,mlflow,< 2.11.3,Local File Inclusion (LFI),Local File Inclusion vulnerability in MLflow allows arbitrary file reads by manipulating URI fragments in version 2.9.2. The issue was fixed in version 2.11.3.,7.5,NVD,Testing and Maintenance,Unknown,"Upgrade to MLflow 2.11.3 or later. Ensure URI validation includes all parts, including fragments, to prevent directory traversal or LFI attacks. Regularly test and audit file access controls to maintain security.","NIST SP 800-53 Rev. 5, SI-10 (Input Validation), SC-7 (Boundary Protection)",2.11.3
CVE-2024-3099,mlflow,< 2.11.1,"Denial of Service, Data Poisoning","A vulnerability in mlflow/mlflow version 2.11.1 allows attackers to create multiple models with the same name by exploiting URL encoding. This flaw can lead to Denial of Service (DoS) as an authenticated user might not be able to use the intended model, as it will open a different model each time. Additionally, an attacker can exploit this vulnerability to perform data model poisoning by creating a model with the same name, potentially causing an authenticated user to become a victim by using the poisoned model. The issue stems from inadequate validation of model names, allowing for the creation of models with URL-encoded names that are treated as distinct from their URL-decoded counterparts.",,NVD,"Deployment, Maintenance",Unknown,"Implement strict validation of model names, including URL-decoding checks before saving models.","NIST SP 800-53 Rev. 5, SI-7 (Information Integrity) - Protecting against manipulation of model parameters.",2.11.1
CVE-2017-12852,numpy,< 1.13.1,Input Validation Error,"The numpy.pad function in NumPy 1.13.1 and earlier is missing input validation. An empty list or ndarray can cause an infinite loop, allowing attackers to trigger a Denial of Service (DoS) attack.",7.5,NVD,Maintain,Unknown,Implement proper input validation for data passed to numpy.pad to avoid infinite loops. Ensure boundary checking and reject malformed input.,"NIST SP 800-53 Rev. 5, SI-10 (Input Validation); OWASP Top 10, A6: Security Misconfiguration",1.13.1
CVE-2014-1858,numpy,< 1.8.1,Insecure File Handling,__init__.py in f2py in NumPy before 1.8.1 allows local users to write to arbitrary files via a symlink attack on a temporary file.,5.5,NVD,Deploy,Unknown,Use secure temporary file creation functions to avoid symlink attacks. Implement file integrity checks before file access.,"NIST SP 800-53 Rev. 5, AC-3 (Access Control); OWASP A9: Using Components with Known Vulnerabilities",1.8.1
CVE-2014-1859,numpy,< 1.8.1,Insecure File Handling,Various test files in NumPy before 1.8.1 allow local users to write to arbitrary files via symlink attacks on temporary files.,5.5,NVD,Deploy,Unknown,Use secure methods for handling temporary files to avoid symlink attacks. Implement file access controls and restrict user permissions.,"NIST SP 800-53 Rev. 5, SC-12 (Cryptographic Protection); OWASP A6: Security Misconfiguration",1.8.1
CVE-2019-6446,numpy,< 1.16.0,Deserialization of Untrusted Data,"NumPy 1.16.0 and earlier uses the pickle Python module unsafely, allowing remote attackers to execute arbitrary code via a crafted serialized object.",9.8,NVD,Maintain,Unknown,Avoid using pickle for deserialization of untrusted input. Use safer alternatives such as json or validate input before deserialization.,"OWASP A8: Insecure Deserialization; NIST SP 800-53 Rev. 5, SI-10 (Input Validation)",1.16.0
